RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1614.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1671.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1929.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1966.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1489.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1622.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1720.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1775.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,2229.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1428.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1629.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1621.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1653.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1889.0,shared_buffers,1024.0
